date,inflation_yoy,oil_change,fx_change,policy_rate
2023-01,6.0,0.5,0.2,2.0
2023-02,6.2,0.2,0.1,2.0
2023-03,6.4,0.1,0.1,2.0
2023-04,6.5,0.0,0.0,2.0
2023-05,6.3,-0.2,-0.1,2.0
2023-06,6.1,-0.3,-0.1,2.0
2023-07,5.9,-0.2,0.0,2.5
2023-08,5.7,-0.1,0.0,2.5
2023-09,5.8,0.2,0.1,2.5
2023-10,6.0,0.4,0.2,2.5
2023-11,6.1,0.3,0.1,3.0
2023-12,6.0,0.1,0.0,3.0
2024-01,5.8,-0.1,-0.1,3.0
2024-02,5.6,-0.2,-0.1,3.0
2024-03,5.5,-0.1,0.0,3.0
2024-04,5.4,0.0,0.0,3.0
2024-05,5.6,0.2,0.1,3.0
2024-06,5.7,0.3,0.1,3.0
2024-07,5.9,0.4,0.2,3.0
2024-08,6.0,0.3,0.1,3.0
2024-09,6.1,0.2,0.1,3.0
2024-10,6.0,0.0,0.0,3.0
2024-11,5.9,-0.1,-0.1,3.0
2024-12,5.8,-0.2,-0.1,3.0
